Id,SceneType,Description,Category,MinDangerLevel,MaxDangerLevel,SuggestedSanityCheck,SuggestedSkillCheck,KeeperTips,Weight,DisplayOrder,IsActive,CreatedAt,SpecificSceneId
1,室內,聽到樓上傳來腳步聲,聲音,1,10,聆聽檢定失敗可能需要SAN檢定,聆聽,可能是其他人或超自然存在,3,1,true,2024-01-01 00:00:00,
2,室內,門突然無風自動關閉,物理現象,2,10,目擊可能需要SAN檢定,偵查,檢查門鎖機制或超自然原因,2,2,true,2024-01-01 00:00:00,
3,室內,燈光閃爍不定,電氣現象,1,8,,電器維修/偵查,可能是電路問題或超自然干擾,2,3,true,2024-01-01 00:00:00,
4,室內,牆壁發出奇怪的響聲,聲音,2,9,持續聆聽可能需要SAN檢定,聆聽/偵查,可能來自牆後或結構問題,2,4,true,2024-01-01 00:00:00,
5,室內,感覺到有人在背後注視,感覺,3,10,感知到時需要SAN檢定,偵查/聆聽,增加緊張感的經典事件,4,5,true,2024-01-01 00:00:00,
6,室內,房間溫度突然下降,環境變化,2,8,,偵查,可能預示超自然存在,2,6,true,2024-01-01 00:00:00,
7,室外,烏雲遮住月光,天氣現象,1,6,,,創造陰暗氛圍,1,7,true,2024-01-01 00:00:00,
8,室外,遠方傳來野獸嚎叫,聲音,2,8,聆聽成功可能需要SAN檢定,聆聽/博物學,判斷是否為已知動物,2,8,true,2024-01-01 00:00:00,
9,室外,風聲中似乎有人在呼喊,聲音,3,9,聆聽成功需要SAN檢定,聆聽,可能是求救或誘騙,3,9,true,2024-01-01 00:00:00,
10,室外,看到遠處有人影晃動,視覺,2,8,目擊需要SAN檢定,偵查/望遠鏡使用,確認是否為人類,3,10,true,2024-01-01 00:00:00,
11,室外,地面出現奇怪的腳印,物理證據,1,7,,偵查/追蹤,分析腳印來源,2,11,true,2024-01-01 00:00:00,
12,室外,突然起霧視線變得模糊,天氣現象,1,6,,,影響視線和移動,1,12,true,2024-01-01 00:00:00,
13,地下室,水滴聲越來越急促,聲音,1,7,持續聆聽可能需要SAN檢定,聆聽,可能預示危險接近,2,13,true,2024-01-01 00:00:00,
14,地下室,空氣中瀰漫著霉味,嗅覺,1,5,,,,增加地下室氛圍,1,14,true,2024-01-01 00:00:00,
15,地下室,牆壁上出現新的裂縫,物理變化,2,8,,偵查/地質學,可能結構不穩或超自然影響,2,15,true,2024-01-01 00:00:00,
16,地下室,聽到遠處傳來低語聲,聲音,4,10,聆聽成功需要SAN檢定,聆聽,極度危險的跡象,4,16,true,2024-01-01 00:00:00,
17,地下室,感覺到地面在輕微震動,感覺,2,8,,偵查/地質學,可能有大型生物移動,3,17,true,2024-01-01 00:00:00,
18,地下室,看到牆上的影子在移動,視覺,3,10,目擊需要SAN檢定,偵查,光源檢查或超自然現象,4,18,true,2024-01-01 00:00:00,
19,通用,感到一陣莫名的寒意,感覺,1,6,,,通用的不安感事件,2,19,true,2024-01-01 00:00:00,
20,通用,聽到奇怪的聲響,聲音,1,7,,聆聽,適用於任何場景,2,20,true,2024-01-01 00:00:00,
21,通用,環境氣氛變得詭異,氛圍,2,8,持續暴露可能需要SAN檢定,,增加整體緊張感,1,21,true,2024-01-01 00:00:00,
22,通用,感覺有什麼不對勁,直覺,1,6,,直覺/偵查,玩家的第六感警告,2,22,true,2024-01-01 00:00:00,
23,通用,空氣中瀰漫著不祥的預感,氛圍,2,7,,,預示即將發生的事件,1,23,true,2024-01-01 00:00:00
