NpcName,PlayerApproach,ReactionDescription,DisplayOrder,IsActive,CreatedAt,UpdatedAt
湯姆·米勒,友善,熱情地為你倒酒，樂意分享當地傳聞，但對布雷克伍德館顯得有些緊張,1,True,2023-01-01,2023-01-01
湯姆·米勒,直接,皺眉思考，提醒你那地方不太對勁，建議你不要一個人去,2,True,2023-01-01,2023-01-01
湯姆·米勒,威脅,後退一步，警告你不要惹麻煩，其他客人也開始注意你們的對話,3,True,2023-01-01,2023-01-01
湯姆·米勒,賄賂,偷偷收下錢財，壓低聲音告訴你一些他平常不會說的秘密,4,True,2023-01-01,2023-01-01
瑪格麗特·懷特,學術,眼睛發亮，熱切地與你討論歷史資料，主動提供額外的研究材料,5,True,2023-01-01,2023-01-01
瑪格麗特·懷特,直接,調整眼鏡，嚴肅地告訴你布雷克伍德家族的黑暗歷史,6,True,2023-01-01,2023-01-01
瑪格麗特·懷特,急躁,提醒你保持安靜，但仍會協助你查找資料，只是效率較低,7,True,2023-01-01,2023-01-01
瑪格麗特·懷特,恭敬,被你的禮貌打動，額外花時間幫你整理最相關的文件,8,True,2023-01-01,2023-01-01
亨利·阿什頓,關心,感激你的到來，但說話支離破碎，時常提到'夢境'和'她在呼喚',9,True,2023-01-01,2023-01-01
亨利·阿什頓,質疑,懷疑你的動機，警告你離開這裡，但又矛盾地希望你能阻止什麼,10,True,2023-01-01,2023-01-01
亨利·阿什頓,專業,試圖用學術語言解釋他的發現，但經常陷入瘋狂的呢喃,11,True,2023-01-01,2023-01-01
