Id,Name,Gender,Age,PhysicalDesc,Biography,StatusEffects,Notes,CharacterTemplateId,IsDead,LastKnownSceneId,IsTemplate,IsActive,CreatedAt,UpdatedAt
1,範本：學者,男,35,"戴眼鏡，略顯蒼白","研究古籍與神秘學","",,False,,,True,True,2025-12-27,2025-12-27
2,範本：調查員,女,28,"體態健瘦，目光敏銳","私人偵探背景，善於觀察","",,False,,,True,True,2025-12-27,2025-12-27
3,範本：醫生,男,45,"戴圓框眼鏡，手指有墨跡","醫院外科醫師，冷靜專業","",,False,,,True,True,2025-12-27,2025-12-27
4,範本：漁夫,男,52,"粗糙皮膚，常戴帽","熟悉海域與航海故事","",,False,,,True,True,2025-12-27,2025-12-27
5,範本：記者,女,30,"短髮，手腕有筆記本印記","新聞記者，追蹤線索敏銳","",,False,,,True,True,2025-12-27,2025-12-27
6,範本：學生,不明,20,"年輕，背著書包","大學生，研究神秘文獻","",,False,,,True,True,2025-12-27,2025-12-27
7,範本：流浪漢,男,60,"衣衫襤褸，眼神飄忽","街頭經歷豐富，知道許多秘密","",,False,,,True,True,2025-12-27,2025-12-27
8,範本：警探,男,38,"身材高大，警徽常在","警隊經歷，熟悉調查程序","",,False,,,True,True,2025-12-27,2025-12-27
9,範本：學徒,女,22,"年輕，略帶緊張","手藝學徒，對工具熟悉","",,False,,,True,True,2025-12-27,2025-12-27
10,範本：舊日信徒,不明,40,"身穿古舊長袍，雙手有符文","熟悉古老儀式與禁忌","",,False,,,True,True,2025-12-27,2025-12-27
