Id,Name,Gender,Age,PhysicalDesc,Biography,StatusEffects,Notes,IsDead,LastKnownSceneId,IsTemplate,IsActive,CreatedAt,UpdatedAt
1,約翰,男,35,"戴眼鏡，略顯蒼白","研究古籍與神秘學","",,,,True,True,2025-12-27,2025-12-27
2,芙拉,女,28,"體態健瘦，目光敏銳","私人偵探背景，善於觀察","",,,,True,True,2025-12-27,2025-12-27
3,羅伯特,男,45,"戴圓框眼鏡，手指有墨跡","醫院外科醫師，冷靜專業","",,,,True,True,2025-12-27,2025-12-27
4,赫斯,男,52,"粗糙皮膚，常戴帽","熟悉海域與航海故事","",,,,True,True,2025-12-27,2025-12-27
5,瑞秋,女,30,"短髮，手腕有筆記本印記","新聞記者，追蹤線索敏銳","",,,,True,True,2025-12-27,2025-12-27
6,嵐,不明,20,"年輕，背著書包","大學生，研究神秘文獻","",,,,True,True,2025-12-27,2025-12-27
7,銳吉,男,60,"衣衫襤褸，眼神飄忽","街頭經歷豐富，知道許多秘密","",,,,True,True,2025-12-27,2025-12-27
8,柏格,男,38,"身材高大，警徽常在","警隊經歷，熟悉調查程序","",,,,True,True,2025-12-27,2025-12-27
9,伊苒,女,22,"年輕，略帶緊張","手藝學徒，對工具熟悉","",,,,True,True,2025-12-27,2025-12-27
10,羅恩,不明,40,"身穿古舊長袍，雙手有符文","熟悉古老儀式與禁忌","",,,,True,True,2025-12-27,2025-12-27
